iter	RMSE
0	0.0178355021
1	0.01782168449
2	0.01779058537
3	0.01778192562
4	0.01777412402
5	0.0177658147
6	0.01775610714
7	0.01775046118
8	0.01774548174
9	0.01773768337
10	0.01771012332
11	0.01770179016
12	0.01769762151
13	0.01769203734
14	0.0176843508
15	0.01767809163
16	0.01767406474
17	0.01766754197
18	0.01766406117
19	0.01765543919
20	0.01764668234
21	0.01764041858
22	0.01763674245
23	0.01763201311
24	0.01762847828
25	0.01762468114
26	0.01761989736
27	0.01761540245
28	0.01761154606
29	0.01760637922
30	0.0176013136
31	0.01759849001
32	0.01759584168
33	0.01759151135
34	0.01756812534
35	0.017565522
36	0.01756193866
37	0.01755849547
38	0.01755421936
39	0.01755167606
40	0.01754865761
41	0.0175333128
42	0.01753053982
43	0.01752667682
44	0.01752518191
45	0.01752210927
46	0.01751864445
47	0.01751679392
48	0.01751495369
49	0.01751321222
50	0.01750846182
51	0.01750654728
52	0.01750493856
53	0.01750287853
54	0.01750009499
55	0.01749633846
56	0.01749326759
57	0.01749087007
58	0.01748633927
59	0.01748450276
60	0.01748088883
61	0.01747841371
62	0.01747599977
63	0.01747415027
64	0.01747258174
65	0.01747082603
66	0.01746791483
67	0.01746624753
68	0.01746379549
69	0.01746118192
70	0.01745889794
71	0.01743839992
72	0.01743673768
73	0.01743497107
74	0.01743264283
75	0.01742954421
76	0.01742715703
77	0.01742425731
78	0.01742241094
79	0.01742076795
80	0.01740210617
81	0.01740052743
82	0.01739431632
83	0.01739311771
84	0.01739188369
85	0.01738801107
86	0.01738685178
87	0.0173856043
88	0.01738409337
89	0.01738052212
90	0.01737675535
91	0.01737442983
92	0.01737326313
93	0.01737181738
94	0.01737020503
95	0.01735426972
96	0.01735268472
97	0.01735106086
98	0.01734904255
99	0.01733590023
100	0.0173285353
101	0.01732622828
102	0.01732544059
103	0.01732414655
104	0.01732213378
105	0.01732086839
106	0.01731887781
107	0.01731741457
108	0.01731679954
109	0.01731552928
110	0.01731455241
111	0.01731310794
112	0.01731158342
113	0.01731002652
114	0.01730832527
115	0.01730660462
116	0.01730610878
117	0.0173053759
118	0.01730406414
119	0.01730283462
120	0.01730185875
121	0.01730035626
122	0.01729804543
123	0.01729614472
124	0.01729511588
125	0.01729339867
126	0.01729264947
127	0.01729046007
128	0.01728889992
129	0.01728726526
130	0.01728647564
131	0.01728496438
132	0.0172840421
133	0.01727781138
134	0.01727746098
135	0.01727539904
136	0.01727163799
137	0.0172704319
138	0.01726711799
139	0.01726502824
140	0.01726342528
141	0.01726221964
142	0.01726064526
143	0.01725947995
144	0.01725807588
145	0.01725665483
146	0.0172532438
147	0.01724936606
148	0.01724488941
149	0.01724426553
150	0.01724326019
151	0.01723937386
152	0.01723894021
153	0.01723721244
154	0.01723550743
155	0.01723407122
156	0.01723259374
157	0.01722986294
158	0.01722936727
159	0.01722638509
160	0.01722318475
161	0.01722194093
162	0.0172202018
163	0.01721722398
164	0.01721508581
165	0.01720464714
166	0.01720367477
167	0.01720290595
168	0.01720141961
169	0.01719932988
170	0.01719759154
171	0.01719699503
172	0.01719402126
173	0.01719280029
174	0.01719151208
175	0.0171903345
176	0.01718904531
177	0.01718774747
178	0.01718377583
179	0.01718288399
180	0.01718182325
181	0.01718075732
182	0.0171797195
183	0.01717740302
184	0.01717587434
185	0.01717397249
186	0.0171701185
187	0.01716944646
188	0.017168506
189	0.01716655856
190	0.0171619425
191	0.01716133771
192	0.01715996285
193	0.01715815977
194	0.01715679148
195	0.01715535468
196	0.01715147619
197	0.01714978774
198	0.01714878157
199	0.01714647371
200	0.01713612636
201	0.01713329019
202	0.01713197634
203	0.0171310792
204	0.01712888668
205	0.01712713972
206	0.01712510405
207	0.01712362087
208	0.01712170911
209	0.01712050757
210	0.0171198942
211	0.01711933263
212	0.01711757962
213	0.01711451967
214	0.01711408201
215	0.01711151303
216	0.01711018363
217	0.01710921083
218	0.01710727595
219	0.0171067404
220	0.01710555409
221	0.01709669898
222	0.01709591929
223	0.0170940083
224	0.0170859049
225	0.01708539377
226	0.01708329526
227	0.01708279067
228	0.01708178612
229	0.01707975744
230	0.01707875993
231	0.01707512382
232	0.0170736413
233	0.01707241381
234	0.01707088346
235	0.01706978225
236	0.01706861193
237	0.01706782559
238	0.0170673338
239	0.01706552681
240	0.01706448783
241	0.01706113101
242	0.01706007555
243	0.01705842109
244	0.01705574015
245	0.0170552629
246	0.01705368993
247	0.01705144246
248	0.01704945457
249	0.01704900079
250	0.01704713845
251	0.01704454117
252	0.01704409149
253	0.01704178673
254	0.01703960029
255	0.01703844456
256	0.0170360808
257	0.01702873765
258	0.01702687829
259	0.01702541069
260	0.01702380209
261	0.01702191095
262	0.01701993469
263	0.01701787625
264	0.01700719287
265	0.01700675505
266	0.01700524223
267	0.01700302791
268	0.0170012537
269	0.01700021556
270	0.01699728457
271	0.01699140885
272	0.01699001071
273	0.01698822981
274	0.01698651121
275	0.01698609584
276	0.01698395224
277	0.0169817829
278	0.01697994134
279	0.01697860009
280	0.01697672301
281	0.01697544997
282	0.01696493773
283	0.01696239489
284	0.01696056965
285	0.01695936645
286	0.01695674697
287	0.01695409872
288	0.01695279874
289	0.01695035256
290	0.01694995367
291	0.01694881733
292	0.01694665306
293	0.01694597179
294	0.01694262946
295	0.01694140879
296	0.01693941521
297	0.01693782819
298	0.01693546473
299	0.01693414544
300	0.01693179967
301	0.01693085657
302	0.01692835998
303	0.01692750897
304	0.01692543267
305	0.01692338306
306	0.01691972148
307	0.0169186919
308	0.01691583961
309	0.01691545764
310	0.01691415216
311	0.01691341088
312	0.01691120691
313	0.01691083143
314	0.01690934874
315	0.01690249978
316	0.01690070017
317	0.01689969497
318	0.01689354155
319	0.01689224975
320	0.01689188888
321	0.01689153617
322	0.0168911949
323	0.01689009897
324	0.01688859831
325	0.01688650611
326	0.01687947101
327	0.0168773172
328	0.01687516216
329	0.0168726322
330	0.01687100095
331	0.01686969437
332	0.01686807991
333	0.01686570021
334	0.01685970783
335	0.01685786792
336	0.01685639224
337	0.01685596159
338	0.01685421068
339	0.01685156676
340	0.01684899881
341	0.01684746351
342	0.01684630334
343	0.0168445818
344	0.01684123504
345	0.01683925924
346	0.01683725722
347	0.01683592455
348	0.01683559767
349	0.0168337283
350	0.01683336135
351	0.01682459661
352	0.0168234002
353	0.01682152557
354	0.01681936146
355	0.01681814738
356	0.0168170758
357	0.01681585572
358	0.01681418737
359	0.01681286774
360	0.01681162154
361	0.01681044461
362	0.01680912796
363	0.01680644916
364	0.0168041321
365	0.01680185435
366	0.01680009301
367	0.01679138909
368	0.01678933708
369	0.01678626219
370	0.01678575543
371	0.01678047072
372	0.01677867997
373	0.01677728646
374	0.01677584008
375	0.01677459203
376	0.01677322449
377	0.01677098653
378	0.01676884204
379	0.01676376014
380	0.01675902212
381	0.01675830718
382	0.01675701583
383	0.01675608527
384	0.01675462527
385	0.01675362254
386	0.01675250793
387	0.01675079624
388	0.01674752463
389	0.01674551125
390	0.01674365084
391	0.016743242
392	0.01674160072
393	0.01673998585
394	0.01673864907
395	0.01673746704
396	0.01673457793
397	0.01673331577
398	0.01673186825
399	0.016730971
400	0.01672907754
401	0.01672821194
402	0.01672677663
403	0.01671929521
404	0.01671711388
405	0.01671251892
406	0.016710387
407	0.01670762162
408	0.01670632773
409	0.016705239
410	0.0167042765
411	0.01669983349
412	0.01669723595
413	0.0166952191
414	0.01669436066
415	0.01669225118
416	0.01669059307
417	0.01668934154
418	0.01668872987
419	0.01668833246
420	0.01668746988
421	0.01668578584
422	0.01668478009
423	0.01668319571
424	0.01667625508
425	0.01667452401
426	0.0166732354
427	0.0166722506
428	0.01667146747
429	0.01667032248
430	0.01666973457
431	0.01666794343
432	0.01666768396
433	0.0166666377
434	0.01666578663
435	0.01666386573
436	0.01666209123
437	0.01666183829
438	0.01666062794
439	0.01665883327
440	0.01665786364
441	0.016657619
442	0.01665674821
443	0.01665503953
444	0.01665374878
445	0.01665274393
446	0.01665088258
447	0.01664935157
448	0.01664764108
449	0.01664673206
450	0.01664587877
451	0.0166446399
452	0.01664307537
453	0.01664227601
454	0.01664071984
455	0.01663830463
456	0.01663697882
457	0.01663623809
458	0.01663448915
459	0.01663380599
460	0.01663310087
461	0.01662648153
462	0.01662562453
463	0.01662193411
464	0.01662100318
465	0.01661501481
466	0.01661347766
467	0.01661154792
468	0.01660946673
469	0.01660718092
470	0.01660650321
471	0.01660511525
472	0.01660369328
473	0.01660248359
474	0.01660224423
475	0.01660058738
476	0.01659933709
477	0.01659746029
478	0.01659560429
479	0.01659475182
480	0.01659366412
481	0.01659223969
482	0.01658951812
483	0.01658558892
484	0.01658394037
485	0.01658336294
486	0.01658201822
487	0.01658050236
488	0.01657970271
489	0.01657880344
490	0.01657497147
491	0.01657320068
492	0.01657161725
493	0.01656988267
494	0.01656889033
495	0.0165671289
496	0.01656386857
497	0.01656077432
498	0.01655938408
499	0.01655766126
